ds,y
2021/7/18,2435.1534
2021/7/19,3202.2234
2021/7/20,2992.4058
2021/7/21,3010.677
2021/7/22,3093.2214
2021/7/23,3136.7058
2021/7/24,2698.9716
2021/7/25,2470.0734
2021/7/26,3437.8056
2021/7/27,3403.74
2021/7/28,3383.85
2021/7/29,3374.145
2021/7/30,3174.804
2021/7/31,2677.5498
2021/8/1,2428.833
2021/8/2,2982.0954
2021/8/3,3133.0488
2021/8/4,3082.2072
2021/8/5,3003.123
2021/8/6,3070.5174
2021/8/7,2526.8004
2021/8/8,2343.5808
2021/8/9,3124.701
2021/8/10,2854.7076
2021/8/11,2835.381
2021/8/12,3092.5866
2021/8/13,3010.4856
2021/8/14,2475.9534
2021/8/15,2210.9268
2021/8/16,3037.3128
2021/8/17,3135.3678
2021/8/18,3217.6968
2021/8/19,3173.2944
2021/8/20,3208.2834
2021/8/21,2531.592
2021/8/22,2321.0214
2021/8/23,3200.8014
2021/8/24,3293.208
2021/8/25,3285.6264
2021/8/26,3387.783
2021/8/27,3207.7014
2021/8/28,2418.1716
2021/8/29,2486.0946
2021/8/30,3316.1904
2021/8/31,3223.692
